index,residual,influ,b_nbaths,b_nbeds,b_area,b_age,se_nbaths,se_nbeds,se_area,se_age
0.000000000000000000e+00,3.574998767330825444e+01,1.439754348554400654e-02,3.599969419921966107e+01,-2.797381959416004804e+01,1.766127581139564917e-01,-1.793163576407356796e+00,3.030101595544505005e-02,1.697074115299504818e-02,6.615459845224569710e-08,7.846966786795785768e-06
1.000000000000000000e+00,1.937982961906121204e+01,3.546989093401151788e-02,2.159453285400749323e+00,-6.583725409482120483e+00,1.171896008137171263e-01,-6.339077836727476933e-01,4.203213998971970511e-02,1.541081816599354157e-02,5.415280968548393562e-08,1.596547030479895083e-05
2.000000000000000000e+00,1.449473060456589337e+02,5.741933882002989847e-02,4.440569838374194234e+01,-8.818700470360839816e+00,8.593881427294662589e-02,-5.413715847342833731e-01,1.991498181412693080e-02,1.757579995432904593e-02,3.034944417930152104e-08,7.512700716898330675e-06
3.000000000000000000e+00,3.804332284830340427e+01,2.099624864952549450e-02,1.796453205804889564e+01,-4.355646802257891181e+01,2.036249593320920703e-01,-1.460760466980422168e+00,4.022430842750578800e-02,1.673400461017030688e-02,7.824637778927585084e-08,1.074193950036675441e-05
4.000000000000000000e+00,4.905777746265330563e+01,3.593355418067378793e-02,4.582793361048893388e+01,-4.675296226367908758e+00,7.526180491481208878e-02,-5.194086197365879176e-01,2.299143563788580771e-02,2.086067814950960317e-02,4.257480895464308411e-08,8.287590453474989879e-06
5.000000000000000000e+00,1.158418176825589114e+02,8.973774081811798642e-02,2.993448913381688570e+01,-8.760137512034336282e+01,2.195487911789373026e-01,-1.189052193130721857e-01,2.863688656651575473e-02,1.779341546772428978e-02,3.463108030116636271e-08,8.742933355692655844e-06
6.000000000000000000e+00,-1.841340843317240683e+01,3.599380831742461651e-02,1.691582051140457210e+01,-8.577358280113234201e-02,6.201195170371709420e-02,-4.371896464703965424e-01,3.586303392496645315e-02,2.321933879318862498e-02,9.329310166612056278e-08,1.017716829075409703e-05
7.000000000000000000e+00,-1.325627584355135014e+01,2.585487649448330733e-02,2.604263508400481442e+01,4.317404437072980272e+00,5.530419255007112261e-02,-4.993140018914781209e-01,3.347889191848364698e-02,1.325582591239433429e-02,5.220787982867919037e-08,1.110761158563160383e-05
8.000000000000000000e+00,1.156801390158627214e+02,4.306455778526827732e-02,3.735766193367716426e+01,-5.072785439139268249e+01,1.658211194097125585e-01,-9.863534935616626864e-01,2.731839020125748779e-02,1.603214371614150591e-02,2.152552569195895047e-08,2.003611716866814544e-05
9.000000000000000000e+00,2.042452465315727750e+01,6.332372853261772350e-02,1.597649481985905950e+01,-8.573044747888012296e+00,1.137896948456744300e-01,-9.750455430502058540e-01,3.785825018110300366e-02,1.510543890821963199e-02,4.653050527281392602e-08,1.761264820283484233e-05
1.000000000000000000e+01,4.565004818616282023e+01,2.981907494876735037e-02,2.145336801412933170e+01,8.456762888567642023e+00,5.680341942878933126e-02,-5.811617628402228064e-01,3.490314362808169535e-02,1.406898778047247639e-02,5.198341923902487017e-08,1.232756585114449729e-05
1.100000000000000000e+01,1.319146763039685766e+01,1.370923194929380556e-02,3.794388274868843069e+01,-1.318896130727500271e+01,1.015410914383631791e-01,-5.509792804689981338e-01,1.870071268434090814e-02,1.493036102625687478e-02,2.692063569750003652e-08,7.126439591151829186e-06
1.200000000000000000e+01,9.029171863123103492e+01,3.499787189225311845e-02,1.387258844024829330e+01,-4.310693546409289212e+01,2.001782221849418564e-01,-1.359172318529935142e+00,4.283008720972900085e-02,1.795187193471793619e-02,7.949125996680309505e-08,1.247022768369248606e-05
1.300000000000000000e+01,4.794732921326388464e+01,4.525924335707778856e-02,1.652187015546856230e+01,1.097667572922177470e+01,6.002588759009587493e-02,-6.284509959089636943e-01,3.987268384808210359e-02,1.511302474490732774e-02,5.618776818524114788e-08,1.337162736797312129e-05
1.400000000000000000e+01,-8.195690267648956251e+00,8.056210311777065383e-03,1.416550577085358853e+01,-9.322512341714103812e+00,1.193689613298922758e-01,-1.030468072842823712e+00,3.393146673888715326e-02,1.331704642629847647e-02,4.179897593503236936e-08,1.682292098441342005e-05
1.500000000000000000e+01,3.973878139010643906e+01,3.772676039661274766e-02,3.873164413690402341e+01,-4.531931267996652934e+01,1.511234261757431752e-01,-2.720693898569116476e-01,3.327866856117932259e-02,1.601105413612492062e-02,4.750294364465452528e-08,8.776761712784774755e-06
1.600000000000000000e+01,1.639294924251896077e+02,6.809893610475781234e-02,2.276758225640396205e+01,-1.520650071590480579e+01,1.224322889042551155e-01,-5.825152573284084756e-01,2.439401869733123784e-02,1.547389730725520600e-02,2.609035450336731285e-08,1.043887240406402761e-05
