index,residual,influ,b_intercept,b_nbaths,b_nbeds,b_area,b_age,se_intercept,se_nbaths,se_nbeds,se_area,se_age
0.000000000000000000e+00,1.580495428913783940e+01,6.038812686534945212e-02,1.199601845595869065e+02,2.863252805882703811e+01,-3.149968604990494470e+01,1.635621457498445952e-01,-2.823388476804136182e+00,4.529395830885917795e-01,4.384999200871387420e-02,2.483132819622476881e-02,7.968797176859381120e-08,3.739706188679372558e-05
1.000000000000000000e+00,2.687955796160858313e+01,8.088464059468615519e-02,-1.193957066880826190e+01,5.271469645092561329e+00,-8.539911145310837171e+00,1.146031339375274682e-01,-4.069053372646982414e-01,9.355169372946158246e-01,8.508498472932418677e-02,3.751097606516495819e-02,9.662617731915410136e-08,8.741730600594193321e-05
2.000000000000000000e+00,1.544783077439557246e+02,1.411203027161533341e-01,-1.628174663874020212e+00,5.622430875646557524e+01,5.060716650069126743e+00,4.952559633536317285e-02,-5.939453898438195045e-01,5.585291694727259060e-01,3.818685293137712156e-02,4.198020935881813243e-02,6.893447318567497783e-08,3.944459708199662826e-05
3.000000000000000000e+00,4.296024483764271906e+01,3.663355979903413356e-02,1.695216652670193582e+02,3.510949189847035967e+00,-6.238301310212339956e+01,2.121092159950153100e-01,-2.999428865285318935e+00,8.931593777331068296e-01,6.528937278802096622e-02,3.215729428981953242e-02,1.172934439556568188e-07,8.661874911515641141e-05
4.000000000000000000e+00,4.169194174742082737e+01,8.062124764231007323e-02,1.227192923708586036e+01,5.116202274888749457e+01,9.091821793232266913e+00,4.297586670405738329e-02,-6.963224011555647630e-01,5.590147559015662404e-01,4.195821566924577001e-02,4.304046861639491267e-02,8.414020664848877235e-08,3.817353916252150893e-05
5.000000000000000000e+00,2.071957346580034596e+02,1.912777277862773573e-01,3.947835441728179262e+02,2.906367577414229686e+00,-1.270922080847428504e+02,2.286370488168476822e-01,-3.035013417857617579e+00,3.838040243416612762e-01,3.847236953885957433e-02,2.816093190941554303e-02,4.743099824959594207e-08,3.787232468579161877e-05
6.000000000000000000e+00,-2.590901164704717985e+00,7.514379131882453766e-02,7.947997034296497532e+01,1.233756678703824505e+01,-1.066063134853689753e+01,7.421335195474659807e-02,-1.207387391391435916e+00,3.893492076839607519e-01,4.690777875571226774e-02,2.862622948498384085e-02,9.417428039104669975e-08,3.645106931331563310e-05
7.000000000000000000e+00,-5.236474001764122477e+00,8.191141918836195024e-02,2.716787141454499022e+01,2.573837040742417059e+01,3.206144526428981401e+00,5.110737078929318555e-02,-7.713543329030525530e-01,5.433557191512160545e-01,5.396859661755980947e-02,2.379480411738531601e-02,7.594261071469297807e-08,5.220749227036247040e-05
8.000000000000000000e+00,8.644983083726499729e+01,1.392810267801810054e-01,4.790259835594736160e+01,3.396826229744246461e+01,-2.878943808235182189e+01,1.376232977685768188e-01,-2.043455235813891768e+00,1.594115685788119352e+00,9.770025540414549459e-02,5.834799410740557774e-02,1.669794527217558225e-07,2.260400477747569398e-04
9.000000000000000000e+00,-1.322961212404393905e+01,3.264966674871636054e-01,1.197701864324461951e+02,1.263994132819151872e+01,-2.052283277517641835e+01,1.187196576111844842e-01,-2.546238487516701898e+00,1.777094916967556726e+00,1.238089896264246703e-01,7.741345285457876257e-02,1.684024767652904108e-07,2.178728848223591573e-04
